,Unnamed: 0,name,link
0,0,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/idisi-polycotton-printed-shirt-fabric/p/itm156e85ccc61cf
1,1,Unstitched Viscose Rayon Trouser Fabric Solid,https://www.flipkart.com/raymond-viscose-rayon-solid-trouser-fabric/p/itm5d891193b610b
2,2,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmbd5118dc2da41
3,3,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
4,4,Unstitched Cotton Blend Shirt &amp; Trouser Fabric Self Des...,https://www.flipkart.com/jhabak-s-cotton-blend-self-design-shirt-trouser-fabric/p/itme9c72805d8649
5,5,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/roxter-polycotton-printed-shirt-fabric/p/itm83e79eacfc787
6,6,Unstitched Polycotton Shirt Fabric Floral Print,https://www.flipkart.com/bajrangi-fashion-polycotton-floral-print-shirt-fabric/p/itm4965cca3d7074
7,7,Men Regular Fit Self Design Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-self-design-casual-grey-shirt/p/itmda6ac6082170f
8,8,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/online-cloth-khazana-polycotton-printed-shirt-fabric/p/itm9ff273fe5fbf8
9,9,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm9633849817a12
10,10,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
11,11,Men Regular Fit Washed Spread Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
12,12,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-black-shirt/p/itm50886d472d08e
13,13,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
14,14,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
15,15,Men Regular Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-checkered-casual-multicolor-shirt/p/itm2f922a9afae8a
16,16,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
17,17,"Pack of 2 Men Regular Fit Light Blue, Beige Viscose Ray...",https://www.flipkart.com/sam-jack-regular-fit-men-light-blue-beige-trousers/p/itm65d6428f2731c
18,18,"Solid Men Black Gym Shorts, Sports Shorts, Cycling Shor...",https://www.flipkart.com/sportinger-solid-men-black-gym-shorts-sports-cycling-running-shorts/p/itmc5301f3506e1f
19,19,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/kvpenterprise-polycotton-printed-shirt-fabric/p/itm31a67e1fa5c2d
20,20,"Baby Boys &amp; Baby Girls Party(Festive) Shirt Pant, Jacke...",https://www.flipkart.com/ooksgal-baby-boys-girls-party-festive-shirt-pant-jacket-bow-tie/p/itmbea4275769113
21,21,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-light-blue-shirt/p/itm4508f24f0cd35
22,22,Unstitched Pure Cotton Shirt Fabric Self Design,https://www.flipkart.com/maitree-creations-pure-cotton-self-design-shirt-fabric/p/itm9e017661483bc
23,23,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmced5f329e7af1
24,24,Unstitched Pure Cotton Shirt Fabric Colorblock,https://www.flipkart.com/maitree-creations-pure-cotton-colorblock-shirt-fabric/p/itm92b30651aa814
25,25,Unstitched Cotton Linen Shirt Fabric Solid,https://www.flipkart.com/siyaram-s-cotton-linen-solid-shirt-fabric/p/itmfh5q5whbzbycw
26,26,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm92cf80c1f7b90
27,27,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm6d0c8336bfaaf
28,28,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm0c7847a339864
29,29,Unstitched Polycotton Shirt Fabric Polka Print,https://www.flipkart.com/bajrangi-fashion-polycotton-polka-print-shirt-fabric/p/itm19b5d48a8c269
30,30,Men Solid Black Track Pants,https://www.flipkart.com/trecnor-solid-men-black-track-pants/p/itme4efa932ed592
31,31,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmcf2b5136ed746
32,32,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/izzy-wear-clothing-polycotton-printed-shirt-fabric/p/itm18b37b5d9e865
33,33,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
34,34,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
35,35,Men Regular Fit Striped Spread Collar Casual Shirt,https://www.flipkart.com/vcom-men-striped-casual-yellow-shirt/p/itm1ed0928f8097b
36,36,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmd622d39543538
37,37,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itm3774771bbedfa
38,38,Solid Men Cargos,https://www.flipkart.com/beevee-solid-men-cargos/p/itme9hb4fk8xkgcw
39,39,Unstitched Polycotton Shirt Fabric Colorblock,https://www.flipkart.com/online-cloth-khazana-polycotton-colorblock-shirt-fabric/p/itm78fac7686f809
40,40,Women Printed Pure Cotton Straight Kurta,https://www.flipkart.com/glowworld-women-printed-straight-kurta/p/itmdacc51b24002b
41,41,Women Kurta and Pant Set Viscose Rayon,https://www.flipkart.com/aleciafashion-women-kurta-pant-set/p/itmf792bb61b31cf
42,42,Women Kurta and Palazzo Set Viscose Rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itmffbad6a5f9e63
43,43,Unstitched Cotton Silk Blouse Material Embroidered,https://www.flipkart.com/vlipcartz-cotton-silk-embroidered-blouse-material/p/itmf877b0c0b4de8
44,44,Women Kurta and Palazzo Set Viscose Rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itm61505bb99bdf3
45,45,"ANMKA Printed Kurta, Trouser/Pant &amp; Dupatta Set",https://www.flipkart.com/karn-kawach-indi-printed-kurta-trouser-pant-dupatta-set/p/itm32badda2c9127
46,46,"Unstitched Crepe Salwar Suit Material Floral Print, Pri...",https://www.flipkart.com/iris-crepe-floral-print-printed-geometric-print-salwar-suit-material/p/itmad38f44c9c527
47,47,"Unstitched Crepe Salwar Suit Material Floral Print, Pri...",https://www.flipkart.com/iris-crepe-floral-print-printed-geometric-print-salwar-suit-material/p/itm2d773fb758e6e
48,48,Unstitched Crepe Salwar Suit Material Printed,https://www.flipkart.com/s-creation-crepe-printed-salwar-suit-material/p/itmb1875c9545e4e
49,49,Unstitched Crepe Salwar Suit Material Printed,https://www.flipkart.com/thira-crepe-printed-salwar-suit-material/p/itme9b4efc44640b
50,50,Unstitched Crepe Salwar Suit Material Printed,https://www.flipkart.com/thira-crepe-printed-salwar-suit-material/p/itmd73fb5ca82698
51,51,"Pack of 2 Women Solid Round Neck Black, Grey T-Shirt",https://www.flipkart.com/reifica-solid-women-round-neck-black-grey-t-shirt/p/itm14cde444492bc
52,52,Casual Regular Sleeves Embroidered Women Multicolor Top,https://www.flipkart.com/vaidiki-casual-3-4-sleeve-embroidered-women-multicolor-top/p/itm57029c956977b
53,53,"Pack of 2 Women Solid Round Neck Maroon, Yellow T-Shirt",https://www.flipkart.com/reifica-solid-women-round-neck-maroon-yellow-t-shirt/p/itm363d5a325bd41
54,54,"Pack of 2 Women Solid Round Neck White, Black T-Shirt",https://www.flipkart.com/reifica-solid-women-round-neck-white-black-t-shirt/p/itm7da736058f24a
55,55,Solid Women Raincoat,https://www.flipkart.com/zacharias-solid-women-raincoat/p/itmeub2yvxbfvstd
56,56,Women Kurta and Palazzo Set Viscose Rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itma9206589bd32c
57,57,Women Striped Khadi Cotton Straight Kurta,https://www.flipkart.com/rimeline-women-striped-straight-kurta/p/itm94ab991c0f630
58,58,Women Kurta and Palazzo Set Viscose Rayon,https://www.flipkart.com/lizra-women-kurta-palazzo-set/p/itmd5959bfc66bc5
59,59,Women Kurta and Palazzo Set Viscose Rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itm56acd4c022693
60,60,Women Printed Viscose Rayon Cape Top Kurta,https://www.flipkart.com/daisy-cloth-design-women-printed-cape-top-kurta/p/itm4f32839835d42
61,61,"Unstitched Crepe Salwar Suit Material Floral Print, Pri...",https://www.flipkart.com/iris-crepe-floral-print-printed-geometric-print-salwar-suit-material/p/itm458c7ec6fc8bb
