,name,link
0,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/idisi-polycotton-printed-shirt-fabric/p/itm156e85ccc61cf
1,Unstitched Viscose Rayon Trouser Fabric Solid,https://www.flipkart.com/raymond-viscose-rayon-solid-trouser-fabric/p/itm5d891193b610b
2,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmbd5118dc2da41
3,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
4,Unstitched Cotton Blend Shirt &amp; Trouser Fabric Self Des...,https://www.flipkart.com/jhabak-s-cotton-blend-self-design-shirt-trouser-fabric/p/itme9c72805d8649
5,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/roxter-polycotton-printed-shirt-fabric/p/itm83e79eacfc787
6,Unstitched Polycotton Shirt Fabric Floral Print,https://www.flipkart.com/bajrangi-fashion-polycotton-floral-print-shirt-fabric/p/itm4965cca3d7074
7,Men Regular Fit Self Design Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-self-design-casual-grey-shirt/p/itmda6ac6082170f
8,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/online-cloth-khazana-polycotton-printed-shirt-fabric/p/itm9ff273fe5fbf8
9,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm9633849817a12
10,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
11,Men Regular Fit Washed Spread Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
12,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-black-shirt/p/itm50886d472d08e
13,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
14,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
15,Men Regular Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-checkered-casual-multicolor-shirt/p/itm2f922a9afae8a
16,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
17,"Pack of 2 Men Regular Fit Light Blue, Beige Viscose Ray...",https://www.flipkart.com/sam-jack-regular-fit-men-light-blue-beige-trousers/p/itm65d6428f2731c
18,"Solid Men Black Gym Shorts, Sports Shorts, Cycling Shor...",https://www.flipkart.com/sportinger-solid-men-black-gym-shorts-sports-cycling-running-shorts/p/itmc5301f3506e1f
19,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/kvpenterprise-polycotton-printed-shirt-fabric/p/itm31a67e1fa5c2d
20,"Baby Boys &amp; Baby Girls Party(Festive) Shirt Pant, Jacke...",https://www.flipkart.com/ooksgal-baby-boys-girls-party-festive-shirt-pant-jacket-bow-tie/p/itmbea4275769113
21,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-light-blue-shirt/p/itm4508f24f0cd35
22,Unstitched Pure Cotton Shirt Fabric Self Design,https://www.flipkart.com/maitree-creations-pure-cotton-self-design-shirt-fabric/p/itm9e017661483bc
23,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmced5f329e7af1
24,Unstitched Pure Cotton Shirt Fabric Colorblock,https://www.flipkart.com/maitree-creations-pure-cotton-colorblock-shirt-fabric/p/itm92b30651aa814
25,Unstitched Cotton Linen Shirt Fabric Solid,https://www.flipkart.com/siyaram-s-cotton-linen-solid-shirt-fabric/p/itmfh5q5whbzbycw
26,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm92cf80c1f7b90
27,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm6d0c8336bfaaf
28,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm0c7847a339864
29,Unstitched Polycotton Shirt Fabric Polka Print,https://www.flipkart.com/bajrangi-fashion-polycotton-polka-print-shirt-fabric/p/itm19b5d48a8c269
30,Men Solid Black Track Pants,https://www.flipkart.com/trecnor-solid-men-black-track-pants/p/itme4efa932ed592
31,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmcf2b5136ed746
32,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/izzy-wear-clothing-polycotton-printed-shirt-fabric/p/itm18b37b5d9e865
33,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
34,Men Regular Fit Washed Cut Away Collar Casual Shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
35,Men Regular Fit Striped Spread Collar Casual Shirt,https://www.flipkart.com/vcom-men-striped-casual-yellow-shirt/p/itm1ed0928f8097b
36,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmd622d39543538
37,Pack of 2 Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itm3774771bbedfa
