,Unnamed: 0,name,link
0,0,unstitch polycotton shirt fabric print,https://www.flipkart.com/idisi-polycotton-printed-shirt-fabric/p/itm156e85ccc61cf
1,1,unstitch viscos rayon trouser fabric solid,https://www.flipkart.com/raymond-viscose-rayon-solid-trouser-fabric/p/itm5d891193b610b
2,2,unstitch polycotton shirt fabric print,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmbd5118dc2da41
3,3,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
4,4,unstitch cotton blend shirt amp trouser fabric self de,https://www.flipkart.com/jhabak-s-cotton-blend-self-design-shirt-trouser-fabric/p/itme9c72805d8649
5,5,unstitch polycotton shirt fabric print,https://www.flipkart.com/roxter-polycotton-printed-shirt-fabric/p/itm83e79eacfc787
6,6,unstitch polycotton shirt fabric floral print,https://www.flipkart.com/bajrangi-fashion-polycotton-floral-print-shirt-fabric/p/itm4965cca3d7074
7,7,men regular fit self design casual shirt,https://www.flipkart.com/carbonn-cloth-men-self-design-casual-grey-shirt/p/itmda6ac6082170f
8,8,unstitch polycotton shirt fabric print,https://www.flipkart.com/online-cloth-khazana-polycotton-printed-shirt-fabric/p/itm9ff273fe5fbf8
9,9,unstitch polycotton shirt fabric print,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm9633849817a12
10,10,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
11,11,men regular fit wash spread collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
12,12,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-black-shirt/p/itm50886d472d08e
13,13,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm0803022ca70b7
14,14,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
15,15,men regular fit checker cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-checkered-casual-multicolor-shirt/p/itm2f922a9afae8a
16,16,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itma972f71d8bc4b
17,17,pack 2 men regular fit light blue beig viscos ray,https://www.flipkart.com/sam-jack-regular-fit-men-light-blue-beige-trousers/p/itm65d6428f2731c
18,18,solid men black gym short sport short cycl shor,https://www.flipkart.com/sportinger-solid-men-black-gym-shorts-sports-cycling-running-shorts/p/itmc5301f3506e1f
19,19,unstitch polycotton shirt fabric print,https://www.flipkart.com/kvpenterprise-polycotton-printed-shirt-fabric/p/itm31a67e1fa5c2d
20,20,babi boy amp babi girl partyfest shirt pant jack,https://www.flipkart.com/ooksgal-baby-boys-girls-party-festive-shirt-pant-jacket-bow-tie/p/itmbea4275769113
21,21,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-light-blue-shirt/p/itm4508f24f0cd35
22,22,unstitch pure cotton shirt fabric self design,https://www.flipkart.com/maitree-creations-pure-cotton-self-design-shirt-fabric/p/itm9e017661483bc
23,23,unstitch polycotton shirt fabric print,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itmced5f329e7af1
24,24,unstitch pure cotton shirt fabric colorblock,https://www.flipkart.com/maitree-creations-pure-cotton-colorblock-shirt-fabric/p/itm92b30651aa814
25,25,unstitch cotton linen shirt fabric solid,https://www.flipkart.com/siyaram-s-cotton-linen-solid-shirt-fabric/p/itmfh5q5whbzbycw
26,26,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm92cf80c1f7b90
27,27,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm6d0c8336bfaaf
28,28,unstitch polycotton shirt fabric print,https://www.flipkart.com/bajrangi-fashion-polycotton-printed-shirt-fabric/p/itm0c7847a339864
29,29,unstitch polycotton shirt fabric polka print,https://www.flipkart.com/bajrangi-fashion-polycotton-polka-print-shirt-fabric/p/itm19b5d48a8c269
30,30,men solid black track pant,https://www.flipkart.com/trecnor-solid-men-black-track-pants/p/itme4efa932ed592
31,31,pack 2 men solid cotton blend alin kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmcf2b5136ed746
32,32,unstitch polycotton shirt fabric print,https://www.flipkart.com/izzy-wear-clothing-polycotton-printed-shirt-fabric/p/itm18b37b5d9e865
33,33,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-blue-shirt/p/itm47a03e842f4a0
34,34,men regular fit wash cut away collar casual shirt,https://www.flipkart.com/carbonn-cloth-men-washed-casual-grey-shirt/p/itmbcd4fcc2e8bed
35,35,men regular fit stripe spread collar casual shirt,https://www.flipkart.com/vcom-men-striped-casual-yellow-shirt/p/itm1ed0928f8097b
36,36,pack 2 men solid cotton blend alin kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itmd622d39543538
37,37,pack 2 men solid cotton blend alin kurta,https://www.flipkart.com/sketchelite-men-solid-a-line-kurta/p/itm3774771bbedfa
38,38,solid men cargo,https://www.flipkart.com/beevee-solid-men-cargos/p/itme9hb4fk8xkgcw
39,39,unstitch polycotton shirt fabric colorblock,https://www.flipkart.com/online-cloth-khazana-polycotton-colorblock-shirt-fabric/p/itm78fac7686f809
40,40,women print pure cotton straight kurta,https://www.flipkart.com/glowworld-women-printed-straight-kurta/p/itmdacc51b24002b
41,41,women kurta pant set viscos rayon,https://www.flipkart.com/aleciafashion-women-kurta-pant-set/p/itmf792bb61b31cf
42,42,women kurta palazzo set viscos rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itmffbad6a5f9e63
43,43,unstitch cotton silk blous materi embroid,https://www.flipkart.com/vlipcartz-cotton-silk-embroidered-blouse-material/p/itmf877b0c0b4de8
44,44,women kurta palazzo set viscos rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itm61505bb99bdf3
45,45,anmka print kurta trouserp amp dupatta set,https://www.flipkart.com/karn-kawach-indi-printed-kurta-trouser-pant-dupatta-set/p/itm32badda2c9127
46,46,unstitch crepe salwar suit materi floral print pri,https://www.flipkart.com/iris-crepe-floral-print-printed-geometric-print-salwar-suit-material/p/itmad38f44c9c527
47,47,unstitch crepe salwar suit materi floral print pri,https://www.flipkart.com/iris-crepe-floral-print-printed-geometric-print-salwar-suit-material/p/itm2d773fb758e6e
48,48,unstitch crepe salwar suit materi print,https://www.flipkart.com/s-creation-crepe-printed-salwar-suit-material/p/itmb1875c9545e4e
49,49,unstitch crepe salwar suit materi print,https://www.flipkart.com/thira-crepe-printed-salwar-suit-material/p/itme9b4efc44640b
50,50,unstitch crepe salwar suit materi print,https://www.flipkart.com/thira-crepe-printed-salwar-suit-material/p/itmd73fb5ca82698
51,51,pack 2 women solid round neck black grey tshirt,https://www.flipkart.com/reifica-solid-women-round-neck-black-grey-t-shirt/p/itm14cde444492bc
52,52,casual regular sleev embroid women multicolor top,https://www.flipkart.com/vaidiki-casual-3-4-sleeve-embroidered-women-multicolor-top/p/itm57029c956977b
53,53,pack 2 women solid round neck maroon yellow tshirt,https://www.flipkart.com/reifica-solid-women-round-neck-maroon-yellow-t-shirt/p/itm363d5a325bd41
54,54,pack 2 women solid round neck white black tshirt,https://www.flipkart.com/reifica-solid-women-round-neck-white-black-t-shirt/p/itm7da736058f24a
55,55,solid women raincoat,https://www.flipkart.com/zacharias-solid-women-raincoat/p/itmeub2yvxbfvstd
56,56,women kurta palazzo set viscos rayon,https://www.flipkart.com/river-cloth-women-kurta-palazzo-set/p/itma9206589bd32c
57,57,women stripe khadi cotton straight kurta,https://www.flipkart.com/rimeline-women-striped-straight-kurta/p/itm94ab991c0f630
