"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B08GCM2J6L",true,499,"INR",1499,1000,66.71,2623,3.8,"https://www.amazon.in/dp/B08GCM2J6L","9967.40",false,false,false,false,"Sponsored Ad - EIO Unisex Kids Cotton Pajama Pants Combo Pack","https://m.media-amazon.com/images/I/71jBnfGbXDL._AC_UL400_.jpg"
1,3,2,"B08JQ19DHW",true,648,"INR",649,1,0.15,13,3,"https://www.amazon.in/dp/B08JQ19DHW","39.00",false,false,false,true,"Sponsored Ad - A toddler thing - Organic Cotton Muslin Knot Type Jabla | White Jhabla | Assorted Pack of 5 | Size - 3-6 Mo...","https://m.media-amazon.com/images/I/51levfw8BSL._AC_UL400_.jpg"
1,4,3,"B0BDRJFNK7",true,599,"INR",999,400,40.04,17,3.7,"https://www.amazon.in/dp/B0BDRJFNK7","62.90",false,false,false,false,"Sponsored Ad - BALUDA ENTERPRISE SEMI LYCRA CLOTHS FOR BABY BOYS","https://m.media-amazon.com/images/I/61g0JcaQD8L._AC_UL400_.jpg"
1,5,4,"B0BGH1NQ5M",true,375,"INR",649,274,42.22,289,4.2,"https://www.amazon.in/dp/B0BGH1NQ5M","1213.80",false,false,false,false,"Real Basics unisex child fleece Track Suit","https://m.media-amazon.com/images/I/81iCPGSMhCL._AC_UL400_.jpg"
1,6,5,"B0B2JLHTZY",true,545,"INR",1400,855,61.07,458,3.9,"https://www.amazon.in/dp/B0B2JLHTZY","1786.20",false,false,false,true,"Googo Gaaga Boy's T-Shirt","https://m.media-amazon.com/images/I/514ftDnqfvL._AC_UL400_.jpg"
1,7,6,"B08HL2S2K3",true,793.78,"INR",1429,635.22,44.45,56,3.7,"https://www.amazon.in/dp/B08HL2S2K3","207.20",false,false,false,true,"Hopscotch Baby Boys Cotton and Spandex Pant set Red 12-18 Months (YAH-3133332)","https://m.media-amazon.com/images/I/51V9iqnDJ2L._AC_UL400_.jpg"
1,8,7,"B08JV67752",true,569,"INR",1999,1430,71.54,4302,3.9,"https://www.amazon.in/dp/B08JV67752","16777.80",false,false,true,true,"Bold N Elegant Cute Cartoon Print Half Sleeve T-shirt and Shorts Clothing Set for Infant Toddler Baby Boy Girl","https://m.media-amazon.com/images/I/512Fau61yGL._AC_UL400_.jpg"
2,1,8,"B08GCM2J6L",true,499,"INR",1499,1000,66.71,2623,3.8,"https://www.amazon.in/dp/B08GCM2J6L","9967.40",false,false,false,false,"Sponsored Ad - EIO Unisex Kids Cotton Pajama Pants Combo Pack","https://m.media-amazon.com/images/I/71jBnfGbXDL._AC_UL400_.jpg"
2,2,9,"B085ZNB3DQ",true,250,"INR",499,249,49.9,1408,3.8,"https://www.amazon.in/dp/B085ZNB3DQ","5350.40",false,false,false,false,"Sponsored Ad - VRITRAZ Unisex-baby Baseball Cap (Pack of 1)","https://m.media-amazon.com/images/I/71ycsX3UL-L._AC_UL400_.jpg"
2,3,10,"B0978WLM5F",true,509,"INR",1899,1390,73.2,60,4.3,"https://www.amazon.in/dp/B0978WLM5F","258.00",false,false,false,true,"Sponsored Ad - Kuchipoo Boys Sleeveless Cotton T-Shirt and Short Set - Combo of 2 (KUC-NSUT-105)","https://m.media-amazon.com/images/I/61xH1aELeES._AC_UL400_.jpg"
2,4,11,"B0BSQR79FD",true,799,"INR",1099,300,27.3,1,5,"https://www.amazon.in/dp/B0BSQR79FD","5.00",false,false,false,false,"Sponsored Ad - Little Baby Boys Wedding, Festive & Party Dress Casual Waistcoat and Pyjama Set(Maroon and White)","https://m.media-amazon.com/images/I/41UWRPJftfL._AC_UL400_.jpg"
2,5,12,"B09WYZW846",false,325,"INR",0,0,0,186,4.1,"https://www.amazon.in/dp/B09WYZW846","762.60",false,false,false,false,"ARIEL Cotton Clothing Sets for Baby Boys & girls - Unisex Clothing sets Full Sleeve T-shirt & Pant","https://m.media-amazon.com/images/I/81mA+HI6EFL._AC_UL400_.jpg"
