"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B0B5TDSTS8",true,1990,"INR",2990,1000,33.44,114,3.9,"https://www.amazon.in/dp/B0B5TDSTS8","444.60",false,false,false,true,"Sponsored Ad - The Pant Project Luxury PV Stretchable Casual Pants for Men | Stylish Slim Fit Men's Wear Trousers for Offi...","https://m.media-amazon.com/images/I/61Qc9HBSo1L._AC_UL400_.jpg"
1,2,2,"B01FDK9PSY",true,764,"INR",2999,2235,74.52,6459,3.6,"https://www.amazon.in/dp/B01FDK9PSY","23252.40",false,false,false,true,"Sponsored Ad - 0-DEGREE Men's Running Shorts","https://m.media-amazon.com/images/I/61o+uaJipIL._AC_UL400_.jpg"
1,3,3,"B01BWL1EDM",true,529,"INR",990,461,46.57,5817,4.2,"https://www.amazon.in/dp/B01BWL1EDM","24431.40",false,false,false,true,"Sponsored Ad - VEGO Men's Regular Fit Capris","https://m.media-amazon.com/images/I/61iJ8WbST+L._AC_UL400_.jpg"
1,4,4,"B07FNMWKSK",true,949,"INR",2499,1550,62.02,1438,3.6,"https://www.amazon.in/dp/B07FNMWKSK","5176.80",false,false,false,true,"Sponsored Ad - McHenry Mens' Regular Fit PolyViscose Checkered Formal Trousers, Trousers","https://m.media-amazon.com/images/I/819fTINVfTL._AC_UL400_.jpg"
1,5,5,"B0BRKHXG3V",true,349,"INR",4999,4650,93.02,1473,4.2,"https://www.amazon.in/dp/B0BRKHXG3V","6186.60",false,false,false,false,"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry)","https://m.media-amazon.com/images/I/71MaGTXl7ML._AC_UL400_.jpg"
1,6,6,"B07DMVHSQ1",true,859,"INR",1399,540,38.6,6092,3.9,"https://www.amazon.in/dp/B07DMVHSQ1","23758.80",false,false,false,true,"Allen Solly Men's Slim Fit Shirt","https://m.media-amazon.com/images/I/71PnNitKnwL._AC_UL400_.jpg"
1,7,7,"B0BRKJ4NBH",true,349,"INR",4999,4650,93.02,1123,4.1,"https://www.amazon.in/dp/B0BRKJ4NBH","4604.30",false,false,false,false,"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta)","https://m.media-amazon.com/images/I/71ZGe3YWTVL._AC_UL400_.jpg"
2,1,8,"B09S3LHSLK",true,299,"INR",418,119,28.47,45,3.9,"https://www.amazon.in/dp/B09S3LHSLK","175.50",false,false,false,false,"Sponsored Ad - Dixcy Scott Maximus Men Vest","https://m.media-amazon.com/images/I/716z4EyDEtL._AC_UL400_.jpg"
2,2,9,"B07FNMWKSK",true,949,"INR",2499,1550,62.02,1438,3.6,"https://www.amazon.in/dp/B07FNMWKSK","5176.80",false,false,false,true,"Sponsored Ad - McHenry Mens' Regular Fit PolyViscose Checkered Formal Trousers, Trousers","https://m.media-amazon.com/images/I/819fTINVfTL._AC_UL400_.jpg"
2,3,10,"B01E2Y07LQ",true,764,"INR",2999,2235,74.52,6459,3.6,"https://www.amazon.in/dp/B01E2Y07LQ","23252.40",false,false,false,true,"Sponsored Ad - 0-DEGREE Men's Running Shorts","https://m.media-amazon.com/images/I/51hH3cl6-VL._AC_UL400_.jpg"
2,4,11,"B08SW1PJTD",true,489,"INR",699,210,30.04,5750,3.7,"https://www.amazon.in/dp/B08SW1PJTD","21275.00",false,false,false,false,"Sponsored Ad - CBlue Men's Outdoor Quick Dry Lightweight Sports Shorts Zipper Pockets","https://m.media-amazon.com/images/I/71B0o+l+-UL._AC_UL400_.jpg"
2,5,12,"B09V2ZY14R",true,499,"INR",899,400,44.49,102,3.5,"https://www.amazon.in/dp/B09V2ZY14R","357.00",false,false,false,true,"GETCHI Men's Plain Shiny Solid Full Sleeves Regular Fit Formal Shirts","https://m.media-amazon.com/images/I/71VyW7m+ckL._AC_UL400_.jpg"
2,6,13,"B0BX44HN8P",true,369,"INR",999,630,63.06,10,3.8,"https://www.amazon.in/dp/B0BX44HN8P","38.00",false,false,true,true,"Neymar 10 Football Jersey 2022/23 with Shorts (Kids & Men)","https://m.media-amazon.com/images/I/41-0CwalT8L._AC_UL400_.jpg"
2,7,14,"B07YT179J4",true,829,"INR",2499,1670,66.83,11578,3.8,"https://www.amazon.in/dp/B07YT179J4","43996.40",false,false,true,true,"Amazon Brand - Symbol Men Dress Pants","https://m.media-amazon.com/images/I/717-WaIUi9L._AC_UL400_.jpg"
3,1,15,"B09B7PV8F5",true,649,"INR",2800,2151,76.82,179,3.8,"https://www.amazon.in/dp/B09B7PV8F5","680.20",false,false,false,true,"Sponsored Ad - VIMAL JONNEY Multicolor Cotton Blend Pyjamas for Men(Pack of 2)-D1_0002-P","https://m.media-amazon.com/images/I/716R1nJsIqL._AC_UL400_.jpg"
3,2,16,"B07FNMWKSK",true,949,"INR",2499,1550,62.02,1438,3.6,"https://www.amazon.in/dp/B07FNMWKSK","5176.80",false,false,false,true,"Sponsored Ad - McHenry Mens' Regular Fit PolyViscose Checkered Formal Trousers, Trousers","https://m.media-amazon.com/images/I/819fTINVfTL._AC_UL400_.jpg"
3,3,17,"B08SW1PJTD",true,489,"INR",699,210,30.04,5750,3.7,"https://www.amazon.in/dp/B08SW1PJTD","21275.00",false,false,false,false,"Sponsored Ad - CBlue Men's Outdoor Quick Dry Lightweight Sports Shorts Zipper Pockets","https://m.media-amazon.com/images/I/71B0o+l+-UL._AC_UL400_.jpg"
