"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B07TWRWS6Z",true,474,"INR",700,226,32.29,2581,3.8,"https://www.amazon.in/dp/B07TWRWS6Z","9807.80",false,false,false,false,"Sponsored Ad - TWGE Women's Cotton Solid Floor Length Nighty","https://m.media-amazon.com/images/I/51v6sEv+9aL._AC_UL320_.jpg"
1,2,2,"B08ZNNY1J3",true,1229,"INR",2699,1470,54.46,825,4.1,"https://www.amazon.in/dp/B08ZNNY1J3","3382.50",false,false,false,true,"Sponsored Ad - Real Basics Women's Cotton Animal Print Pajama Set Pack of 2","https://m.media-amazon.com/images/I/71k-6jXuR8L._AC_UL320_.jpg"
1,3,3,"B01N316FQO",true,550,"INR",650,100,15.38,33,4.2,"https://www.amazon.in/dp/B01N316FQO","138.60",false,false,false,true,"Sponsored Ad - UNIFORM CRAFT Women's Polyester and Cotton Twill Lab Coat, White","https://m.media-amazon.com/images/I/61s3t7ExJWL._AC_UL320_.jpg"
1,4,4,"B08ZNPZ3FL",true,799,"INR",1999,1200,60.03,293,4,"https://www.amazon.in/dp/B08ZNPZ3FL","1172.00",false,false,false,true,"Sponsored Ad - Real Basics Women's Cotton All Over Printed Pyjama(Pack of 2)","https://m.media-amazon.com/images/I/81LCy--EmKL._AC_UL320_.jpg"
1,5,5,"B09PBYLQFQ",true,499,"INR",2599,2100,80.8,1197,3.5,"https://www.amazon.in/dp/B09PBYLQFQ","4189.50",false,false,false,true,"NAINVISH Women/Girl's Pure Cotton Paisley Printed Kaftan Top with Pant (SD222-224_KB)","https://m.media-amazon.com/images/I/81L9NuLXIwL._AC_UL320_.jpg"
1,6,6,"B0B6WBBDP6",true,299,"INR",1999,1700,85.04,221,3.1,"https://www.amazon.in/dp/B0B6WBBDP6","685.10",false,false,false,false,"GRECIILOOKS Women's Tie-dye Loose Fit Flared Wide Leg Palazzo Pants | Relaxed Pants | Loose Bottom","https://m.media-amazon.com/images/I/61q7tW00daL._AC_UL320_.jpg"
1,7,7,"B0B4FXJMRM",true,759,"INR",2599,1840,70.8,3433,4,"https://www.amazon.in/dp/B0B4FXJMRM","13732.00",false,false,false,true,"GoSriKi Women's Cotton Blend Straight Embroidered Kurta with Pant & Dupatta","https://m.media-amazon.com/images/I/612XZsEScWL._AC_UL320_.jpg"
2,1,8,"B09N1MJ49H",true,289,"INR",500,211,42.2,228,4,"https://www.amazon.in/dp/B09N1MJ49H","912.00",false,false,false,false,"Sponsored Ad - Fshway Clip-on Mock Lace Camisole for Women Cotton Deep Neck Cleavage Cover Cami Secret (Black, White, Beig...","https://m.media-amazon.com/images/I/51ycvkkxCcL._AC_UL400_.jpg"
2,2,9,"B0BHTT9VFS",true,299,"INR",500,201,40.2,415,4.1,"https://www.amazon.in/dp/B0BHTT9VFS","1701.50",false,false,false,true,"Sponsored Ad - FIMALIA Women's Cotton Clip-on Mock Lace Camisole Camii Secret (Free Size) - Set of 3","https://m.media-amazon.com/images/I/71WlpkKUIqL._AC_UL400_.jpg"
2,3,10,"B09PBXK82B",true,498,"INR",999,501,50.15,80,4,"https://www.amazon.in/dp/B09PBXK82B","320.00",false,false,false,false,"Sponsored Ad - ANZAILALA Ladies Lace Gloves Full Finger Bridal Lace Gloves Fashion Net Gloves Long Floral Gloves for Women","https://m.media-amazon.com/images/I/71m9f+n7QjL._AC_UL400_.jpg"
2,4,11,"B08ZNPZ3FL",true,799,"INR",1999,1200,60.03,293,4,"https://www.amazon.in/dp/B08ZNPZ3FL","1172.00",false,false,false,true,"Sponsored Ad - Real Basics Women's Cotton All Over Printed Pyjama(Pack of 2)","https://m.media-amazon.com/images/I/81LCy--EmKL._AC_UL400_.jpg"
2,5,12,"B07RPXLQL3",true,378,"INR",1680,1302,77.5,2750,4,"https://www.amazon.in/dp/B07RPXLQL3","11000.00",false,false,false,false,"BLINKIN Stretchable Yoga Pants for Women & Gym Pants for Women Workout with Mesh Insert & Side Pockets (1869)","https://m.media-amazon.com/images/I/61iqTdIlYEL._AC_UL400_.jpg"
2,6,13,"B08QZCZPLT",true,369,"INR",1999,1630,81.54,10331,3.8,"https://www.amazon.in/dp/B08QZCZPLT","39257.80",false,false,false,false,"OM SAI LATEST CREATION Women's Slub Cotton Mor Pankh Printed Anarkali Kurti New Selection 2023 Under 399 Designer Attracti...","https://m.media-amazon.com/images/I/61o7YHKIAGL._AC_UL400_.jpg"
2,7,14,"B09YCWCSYB",true,185,"INR",299,114,38.13,274,3.7,"https://www.amazon.in/dp/B09YCWCSYB","1013.80",false,false,false,true,"DROPOSALE (36 Strips Fashion Body Tape, Clear Fabric Strong Double Sided Tape for Clothes Dress Bra Skin Bikini (Pack of 1)","https://m.media-amazon.com/images/I/710NbzrSC+L._AC_UL400_.jpg"
2,8,15,"B08LV8GML6",false,1599,"INR",0,0,0,62,3.8,"https://www.amazon.in/dp/B08LV8GML6","235.60",false,false,false,true,"Van Heusen Athleisure Women Antibacterial Relaxed Fit Lightweight Track Pants with Pockets","https://m.media-amazon.com/images/I/71LXWBYztQL._AC_UL400_.jpg"
3,1,16,"B09PBXK82B",true,498,"INR",999,501,50.15,80,4,"https://www.amazon.in/dp/B09PBXK82B","320.00",false,false,false,false,"Sponsored Ad - ANZAILALA Ladies Lace Gloves Full Finger Bridal Lace Gloves Fashion Net Gloves Long Floral Gloves for Women","https://m.media-amazon.com/images/I/71m9f+n7QjL._AC_UL400_.jpg"
3,2,17,"B08ZNPZ3FL",true,799,"INR",1999,1200,60.03,293,4,"https://www.amazon.in/dp/B08ZNPZ3FL","1172.00",false,false,false,true,"Sponsored Ad - Real Basics Women's Cotton All Over Printed Pyjama(Pack of 2)","https://m.media-amazon.com/images/I/81LCy--EmKL._AC_UL400_.jpg"
3,3,18,"B0BH7YQW7R",true,830,"INR",964,134,13.9,226,4,"https://www.amazon.in/dp/B0BH7YQW7R","904.00",false,false,true,true,"Sponsored Ad - Lux Cottswool V Neck Full Sleeves Upper and Lower Thermal Set for Women","https://m.media-amazon.com/images/I/51YYytax4NL._AC_UL400_.jpg"
3,4,19,"B09F3RWXXL",true,799,"INR",1875,1076,57.39,16,3.8,"https://www.amazon.in/dp/B09F3RWXXL","60.80",false,false,false,true,"Sponsored Ad - bellamy Cotton Robes,Housecoat, Nighty, Sleepwear, Night Gown for Women Ladies House Coat, Front Open Adjus...","https://m.media-amazon.com/images/I/71YwEFXXWTL._AC_UL400_.jpg"
3,5,20,"B09FFD5G4H",true,799,"INR",1999,1200,60.03,3180,4,"https://www.amazon.in/dp/B09FFD5G4H","12720.00",false,false,false,true,"JUNEBERRY Women Sweatshirt with Hoodies, Fleece Material Full Sleeves Jumper Women Winter Wear, Hooded Neck Regular Fit Lo...","https://m.media-amazon.com/images/I/61PiFceNJLL._AC_UL400_.jpg"
3,6,21,"B0BHSDBP7W",true,259,"INR",999,740,74.07,6,3.3,"https://www.amazon.in/dp/B0BHSDBP7W","19.80",false,false,false,false,"Women's Polo Collar Full Sleeves Crop Top Rib Knit Tank CT-07 (X-Small, White)","https://m.media-amazon.com/images/I/51Yp50zuGlL._AC_UL400_.jpg"
3,7,22,"B0BC27MZ62",true,679,"INR",2799,2120,75.74,33,4.1,"https://www.amazon.in/dp/B0BC27MZ62","135.30",false,false,false,true,"CHARNEST Women's Rayon Maternity Dress, Pregnancy Dress, Easy Breast Feeding, Breast Feeding Dress Zippers for Nursing Pre...","https://m.media-amazon.com/images/I/718ErIuOcEL._AC_UL400_.jpg"
3,8,23,"B0C1P563ZF",true,599,"INR",1299,700,53.89,6,4,"https://www.amazon.in/dp/B0C1P563ZF","24.00",false,false,false,true,"Alan Jones Clothing Women's Solid Comfort Fit Cotton Joggers Track Pant","https://m.media-amazon.com/images/I/61hhj6s10PL._AC_UL400_.jpg"
1,8,24,"B0B4FWV8L3",true,439,"INR",1999,1560,78.04,1467,3.8,"https://www.amazon.in/dp/B0B4FWV8L3","5574.60",false,false,false,false,"Stylum Women's Floral Print Rayon A-Line Kurta","https://m.media-amazon.com/images/I/71lkKHXJyOL._AC_UL320_.jpg"
1,9,25,"B08DD1SM5F",true,469,"INR",2599,2130,81.95,40161,3.7,"https://www.amazon.in/dp/B08DD1SM5F","148595.70",false,false,false,false,"GoSriKi Women's Cotton Straight Kurta with Pant","https://m.media-amazon.com/images/I/51oE5MBmb9L._AC_UL320_.jpg"
1,10,26,"B079JW5P8B",true,652,"INR",1999,1347,67.38,4160,3.8,"https://www.amazon.in/dp/B079JW5P8B","15808.00",false,false,false,true,"Uptownie Lite Women's Maxi Jumpsuit","https://m.media-amazon.com/images/I/51jLZ2U5+fL._AC_UL320_.jpg"
1,11,27,"B0B25HHRPG",true,659,"INR",2599,1940,74.64,3021,3.7,"https://www.amazon.in/dp/B0B25HHRPG","11177.70",false,false,false,true,"ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant & Dupatta (Itta STY)","https://m.media-amazon.com/images/I/61KzT2OrERL._AC_UL320_.jpg"
1,12,28,"B0BSXBZL51",true,449.1,"INR",799,349.9,43.79,231,4.6,"https://www.amazon.in/dp/B0BSXBZL51","1062.60",false,false,false,false,"HSR Winter Warm Leggings Women Elastic Thermal Legging Pants Fleece Lined Thick Tights","https://m.media-amazon.com/images/I/61zkPHvGDgL._AC_UL320_.jpg"
1,13,29,"B0BLVGZQ4S",true,499,"INR",1999,1500,75.04,18,4,"https://www.amazon.in/dp/B0BLVGZQ4S","72.00",false,false,false,true,"OM SAI LATEST CREATION Women Lycra Sweatshirt with Sleepwear Nightwear & Workout Clothes Gym Wea TracksuitsYoga Jogging Tr...","https://m.media-amazon.com/images/I/71IH8sSJjzL._AC_UL320_.jpg"
1,14,30,"B0B49XFD97",true,348,"INR",1999,1651,82.59,736,3.6,"https://www.amazon.in/dp/B0B49XFD97","2649.60",false,false,true,false,"KOTTY Women Polyester Blend Green Solid Trousers","https://m.media-amazon.com/images/I/51ZhQJBhWpL._AC_UL320_.jpg"
1,15,31,"B09FTD5T6V",true,379,"INR",1499,1120,74.72,1283,4,"https://www.amazon.in/dp/B09FTD5T6V","5132.00",false,false,false,true,"DMP FASHION Women's Rayon Heavy Embroidery Classic Baby Pink Top","https://m.media-amazon.com/images/I/71dgp1fOBhL._AC_UL320_.jpg"
1,16,32,"B0BB7P7LFL",true,684,"INR",1409,725,51.45,54,3.3,"https://www.amazon.in/dp/B0BB7P7LFL","178.20",false,false,false,true,"KUMKUM NARROW FAB Women's Soft Silk Printed Fully Stitched Shirt","https://m.media-amazon.com/images/I/41aVmsuaIgL._AC_UL320_.jpg"
1,17,33,"B085VHLJZF",true,674,"INR",2999,2325,77.53,2778,4,"https://www.amazon.in/dp/B085VHLJZF","11112.00",false,false,false,true,"UZARUS Women's Slim Fit Joggers","https://m.media-amazon.com/images/I/5119G7ZHDkL._AC_UL320_.jpg"
1,18,34,"B0BSXQ9R9M",true,699,"INR",1399,700,50.04,32,4,"https://www.amazon.in/dp/B0BSXQ9R9M","128.00",false,false,true,true,"Azira Front Open Longline Printed Shrug for Women and Girl","https://m.media-amazon.com/images/I/71ZV9vWwNVL._AC_UL320_.jpg"
1,19,35,"B0BTD18GGY",true,769,"INR",1499,730,48.7,31,4.7,"https://www.amazon.in/dp/B0BTD18GGY","145.70",false,false,false,true,"Istyle Can Dress for Women Solid Belted Wrap Dress with Bishop Sleeves Surplice Neck High Waist & Flared Hem Midi Dress fo...","https://m.media-amazon.com/images/I/51uqF7aiFiL._AC_UL320_.jpg"
1,20,36,"B09RZHP9GF",true,499,"INR",999,500,50.05,832,3.8,"https://www.amazon.in/dp/B09RZHP9GF","3161.60",false,false,false,true,"Women's Cotton Floral Printed Anarkali Maternity Feeding Kurti","https://m.media-amazon.com/images/I/516B2VZDjOL._AC_UL320_.jpg"
1,21,37,"B09PBXK82B",true,498,"INR",999,501,50.15,80,4,"https://www.amazon.in/dp/B09PBXK82B","320.00",false,false,false,false,"Sponsored Ad - ANZAILALA Ladies Lace Gloves Full Finger Bridal Lace Gloves Fashion Net Gloves Long Floral Gloves for Women","https://m.media-amazon.com/images/I/71m9f+n7QjL._AC_UL320_.jpg"
1,22,38,"B0BH7YQW7R",true,830,"INR",964,134,13.9,226,4,"https://www.amazon.in/dp/B0BH7YQW7R","904.00",false,false,true,true,"Sponsored Ad - Lux Cottswool V Neck Full Sleeves Upper and Lower Thermal Set for Women","https://m.media-amazon.com/images/I/51YYytax4NL._AC_UL320_.jpg"
1,23,39,"B08N4WNKC4",true,499,"INR",2299,1800,78.29,2532,4,"https://www.amazon.in/dp/B08N4WNKC4","10128.00",false,false,true,true,"Sponsored Ad - Uptownie Lite Women's Maxi Jumpsuit","https://m.media-amazon.com/images/I/710g84vcfoL._AC_UL320_.jpg"
1,24,40,"B0BW949WQN",true,569,"INR",1998,1429,71.52,77,4.1,"https://www.amazon.in/dp/B0BW949WQN","315.70",false,false,false,true,"Sponsored Ad - Hangout Hub Women's Cotton Regular Fit Floral Print Light Green Color Night Suit Set of Front Buttom Shirt...","https://m.media-amazon.com/images/I/51eSq6NZIRL._AC_UL320_.jpg"
1,25,41,"B0BGPM1L6R",true,469,"INR",2399,1930,80.45,60,4,"https://www.amazon.in/dp/B0BGPM1L6R","240.00",false,false,false,false,"LookMark Women's Tie Dye Printed Short Sleeve Long Tracksuit PJ 2 Piece Co-ord Set(NW02 Night Suit Long)","https://m.media-amazon.com/images/I/51A4d6fhGyL._AC_UL320_.jpg"
1,26,42,"B0B4VR1MFK",true,369,"INR",2999,2630,87.7,583,3.7,"https://www.amazon.in/dp/B0B4VR1MFK","2157.10",false,false,false,false,"GRECIILOOKS Women's Tie-Dye Joggers Stretchable Pants | Slim Fit Casual Joggers for Women | Straight Relaxed Fit Trousers...","https://m.media-amazon.com/images/I/41y71UYlbtL._AC_UL320_.jpg"
1,27,43,"B06XPJL3F6",true,399,"INR",1199,800,66.72,3729,4,"https://www.amazon.in/dp/B06XPJL3F6","14916.00",false,false,false,false,"Ap'pulse Women's 1/4 Zip Slimfit Raglan Sleeve Tshirt","https://m.media-amazon.com/images/I/61qArRFsdiL._AC_UL320_.jpg"
1,28,44,"B0BR56GQ16",true,469,"INR",1999,1530,76.54,25,4.1,"https://www.amazon.in/dp/B0BR56GQ16","102.50",false,false,true,false,"DHRUVI TRENDZ Women's Relaxed Fit & Stretchable With Hoodie Neck Workout Top & Bottom Sets, For Yoga | For Sports | For Tr...","https://m.media-amazon.com/images/I/614cToOUxAL._AC_UL320_.jpg"
1,29,45,"B0BRSQSL3S",true,425,"INR",2897,2472,85.33,18,3.5,"https://www.amazon.in/dp/B0BRSQSL3S","63.00",false,false,false,false,"Fast Fashions Women's Tie-Dye Co-Ords Set","https://m.media-amazon.com/images/I/71hTmE6deRL._AC_UL320_.jpg"
